cause,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,ratio,icd_code,mur_male,mur_female,mur_persons
Congenital malformations of aortic and mitral valves (Q23),no.,20,11,31,44,18,62,2,Q23,2.2,1.6363636363636365,2
Other congenital malformations of heart (Q24),no.,23,24,47,49,42,91,1.9,Q24,2.130434782608696,1.75,1.9361702127659575
Congenital malformations of great arteries (Q25),no.,4,11,15,20,30,50,3.3,Q25,5,2.727272727272727,3.3333333333333335
Congenital malformations of great veins (Q26),no.,0,1,1,4,3,7,7,Q26,NA,3,7
Other congenital malformations of peripheral vascular system (Q27),no.,5,5,10,14,11,25,2.5,Q27,2.8,2.2,2.5
Other congenital malformations of circulatory system (Q28),no.,7,1,8,17,6,23,2.9,Q28,2.4285714285714284,6,2.875
Congenital malformations of the respiratory system (Q30-Q34),no.,6,6,12,20,19,39,3.3,Q30-Q34,3.3333333333333335,3.1666666666666665,3.25
Congenital malformations of nose (Q30),no.,0,0,0,0,0,0,NA,Q30,NA,NA,NA
Congenital malformations of larynx (Q31),no.,0,0,0,0,1,1,NA,Q31,NA,NA,NA
Congenital malformations of trachea and bronchus (Q32),no.,4,1,5,7,1,8,1.6,Q32,1.75,1,1.6
Congenital malformations of lung (Q33),no.,2,5,7,13,16,29,4.1,Q33,6.5,3.2,4.142857142857143
Other congenital malformations of respiratory system (Q34),no.,0,0,0,0,1,1,NA,Q34,NA,NA,NA
Cleft lip and cleft palate (Q35-Q37),no.,1,0,1,4,0,4,4,Q35-Q37,4,NA,4
Cleft palate (Q35),no.,0,0,0,1,0,1,NA,Q35,NA,NA,NA
Cleft lip (Q36),no.,0,0,0,1,0,1,NA,Q36,NA,NA,NA
Cleft palate with cleft lip (Q37),no.,1,0,1,2,0,2,2,Q37,2,NA,2
Other congenital malformations of the digestive system (Q38-Q45),no.,10,9,19,20,24,44,2.3,Q38-Q45,2,2.6666666666666665,2.3157894736842106
"Other congenital malformations of tongue, mouth and pharynx (Q38)",no.,0,0,0,0,1,1,NA,Q38,NA,NA,NA
Congenital malformations of oesophagus (Q39),no.,3,3,6,4,6,10,1.7,Q39,1.3333333333333333,2,1.6666666666666667
Other congenital malformations of upper alimentary tract (Q40),no.,0,0,0,0,1,1,NA,Q40,NA,NA,NA
"Congenital absence, atresia and stenosis of small intestine (Q41)",no.,1,0,1,1,1,2,2,Q41,1,NA,2
"Congenital absence, atresia and stenosis of large intestine (Q42)",no.,0,0,0,1,1,2,NA,Q42,NA,NA,NA
Other congenital malformations of intestine (Q43),no.,6,3,9,11,7,18,2,Q43,1.8333333333333333,2.3333333333333335,2
"Congenital malformations of gallbladder, bile ducts and liver (Q44)",no.,0,3,3,2,7,9,3,Q44,NA,2.3333333333333335,3
Other congenital malformations of digestive system (Q45),no.,0,0,0,1,0,1,NA,Q45,NA,NA,NA
Congenital malformations of genital organs (Q50-Q56),no.,0,0,0,1,0,1,NA,Q50-Q56,NA,NA,NA
"Congenital malformations of ovaries, fallopian tubes and broad ligaments (Q50)",no.,0,0,0,0,0,0,NA,Q50,NA,NA,NA
Congenital malformations of uterus and cervix (Q51),no.,0,0,0,0,0,0,NA,Q51,NA,NA,NA
Other congenital malformations of female genitalia (Q52),no.,0,0,0,0,0,0,NA,Q52,NA,NA,NA
Undescended testicle (Q53),no.,0,0,0,0,0,0,NA,Q53,NA,NA,NA
Hypospadias (Q54),no.,0,0,0,1,0,1,NA,Q54,NA,NA,NA
Other congenital malformations of male genital organs (Q55),no.,0,0,0,0,0,0,NA,Q55,NA,NA,NA
Indeterminate sex and pseudohermaphroditism (Q56),no.,0,0,0,0,0,0,NA,Q56,NA,NA,NA
Congenital malformations of the urinary system (Q60-Q64),no.,45,43,88,87,70,157,1.8,Q60-Q64,1.9333333333333333,1.627906976744186,1.7840909090909092
Renal agenesis and other reduction defects of kidney (Q60),no.,7,7,14,12,14,26,1.9,Q60,1.7142857142857142,2,1.8571428571428572
Cystic kidney disease (Q61),no.,31,35,66,62,51,113,1.7,Q61,2,1.457142857142857,1.7121212121212122
Congenital obstructive defects of renal pelvis and congenital malformations of ureter (Q62),no.,1,0,1,1,0,1,1,Q62,1,NA,1
Other congenital malformations of kidney (Q63),no.,2,1,3,6,4,10,3.3,Q63,3,4,3.3333333333333335
Other congenital malformations of urinary system (Q64),no.,4,0,4,6,1,7,1.8,Q64,1.5,NA,1.75
Congenital malformations and deformations of the musculoskeletal system (Q65-Q79),no.,14,16,30,32,43,75,2.5,Q65-Q79,2.2857142857142856,2.6875,2.5
Congenital deformities of hip (Q65),no.,0,0,0,0,2,2,NA,Q65,NA,NA,NA
Congenital deformities of feet (Q66),no.,0,0,0,0,1,1,NA,Q66,NA,NA,NA
"Congenital musculoskeletal deformities of head, face, spine and chest (Q67)",no.,0,0,0,4,3,7,NA,Q67,NA,NA,NA
Other congenital musculoskeletal deformities (Q68),no.,0,1,1,0,2,2,2,Q68,NA,2,2
Polydactyly (Q69),no.,0,0,0,0,0,0,NA,Q69,NA,NA,NA
Syndactyly (Q70),no.,0,0,0,0,0,0,NA,Q70,NA,NA,NA
Reduction defects of upper limb (Q71),no.,0,0,0,1,0,1,NA,Q71,NA,NA,NA
Reduction defects of lower limb (Q72),no.,0,0,0,0,0,0,NA,Q72,NA,NA,NA
Reduction defects of unspecified limb (Q73),no.,0,0,0,1,0,1,NA,Q73,NA,NA,NA
Other congenital malformations of limb(s) (Q74),no.,2,1,3,2,2,4,1.3,Q74,1,2,1.3333333333333333
Other congenital malformations of skull and face bones (Q75),no.,0,0,0,0,0,0,NA,Q75,NA,NA,NA
Congenital malformations of spine and bony thorax (Q76),no.,0,0,0,2,1,3,NA,Q76,NA,NA,NA
Osteochondrodysplasia with defects of growth of tubular bones and spine (Q77),no.,0,2,2,3,3,6,3,Q77,NA,1.5,3
Other osteochondrodysplasias (Q78),no.,7,1,8,11,6,17,2.1,Q78,1.5714285714285714,6,2.125
"Congenital malformations of the musculoskeletal system, not elsewhere classified (Q79)",no.,5,11,16,8,23,31,1.9,Q79,1.6,2.090909090909091,1.9375
Other congenital malformations (Q80-Q89),no.,45,40,85,118,88,206,2.4,Q80-Q89,2.6222222222222222,2.2,2.4235294117647057
Congenital ichthyosis (Q80),no.,0,0,0,0,1,1,NA,Q80,NA,NA,NA
Epidermolysis bullosa (Q81),no.,1,0,1,2,0,2,2,Q81,2,NA,2
Other congenital malformations of skin (Q82),no.,2,0,2,5,1,6,3,Q82,2.5,NA,3
Congenital malformations of breast (Q83),no.,0,0,0,0,0,0,NA,Q83,NA,NA,NA
Other congenital malformations of integument (Q84),no.,0,0,0,0,0,0,NA,Q84,NA,NA,NA
"Phakomatoses, not elsewhere classified (Q85)",no.,7,7,14,30,24,54,3.9,Q85,4.285714285714286,3.4285714285714284,3.857142857142857
"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified (Q86)",no.,0,0,0,4,1,5,NA,Q86,NA,NA,NA
Other specified congenital malformation syndromes affecting multiple systems (Q87),no.,22,17,39,53,36,89,2.3,Q87,2.409090909090909,2.1176470588235294,2.282051282051282
"Other congenital malformations, not elsewhere classified (Q89)",no.,13,16,29,24,25,49,1.7,Q89,1.8461538461538463,1.5625,1.6896551724137931
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",no.,95,95,190,149,147,296,1.6,Q90-Q99,1.568421052631579,1.5473684210526315,1.5578947368421052
Down syndrome (Q90),no.,60,67,127,88,90,178,1.4,Q90,1.4666666666666666,1.3432835820895523,1.4015748031496063
Edwards syndrome and Patau syndrome (Q91),no.,9,10,19,9,12,21,1.1,Q91,1,1.2,1.105263157894737
"Other trisomies and partial trisomies of the autosomes, not elsewhere classified (Q92)",no.,3,5,8,8,6,14,1.8,Q92,2.6666666666666665,1.2,1.75
"Monosomies and deletions from the autosomes, not elsewhere classified (Q93)",no.,13,7,20,16,16,32,1.6,Q93,1.2307692307692308,2.2857142857142856,1.6
"Balanced rearrangements and structural markers, not elsewhere classified (Q95)",no.,0,0,0,0,0,0,NA,Q95,NA,NA,NA
Turner syndrome (Q96),no.,0,2,2,1,13,14,7,Q96,NA,6.5,7
"Other sex chromosome abnormalities, female phenotype, not elsewhere classified (Q97)",no.,0,0,0,0,1,1,NA,Q97,NA,NA,NA
"Other sex chromosome abnormalities, male phenotype, not elsewhere classified (Q98)",no.,2,0,2,8,0,8,4,Q98,4,NA,4
"Other chromosome abnormalities, not elsewhere classified (Q99)",no.,8,4,12,19,9,28,2.3,Q99,2.375,2.25,2.3333333333333335
"CHAPTER XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",no.,1811,1970,3781,24039,26204,50243,13.3,R00-R99,13.273881833241303,13.301522842639594,13.288283522877546
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),no.,30,45,75,2012,1864,3876,51.7,R00-R09,67.06666666666666,41.422222222222224,51.68
Abnormalities of heart beat (R00),no.,1,3,4,132,127,259,64.8,R00,132,42.333333333333336,64.75
Cardiac murmurs and other cardiac sounds (R01),no.,0,0,0,2,4,6,NA,R01,NA,NA,NA
"Gangrene, not elsewhere classified (R02)",no.,1,1,2,268,192,460,230,R02,268,192,230
"Abnormal blood-pressure reading, without diagnosis (R03)",no.,0,0,0,1,1,2,NA,R03,NA,NA,NA
Haemorrhage from respiratory passages (R04),no.,1,4,5,138,96,234,46.8,R04,138,24,46.8
Cough (R05),no.,0,0,0,6,3,9,NA,R05,NA,NA,NA
Abnormalities of breathing (R06),no.,1,0,1,178,167,345,345,R06,178,NA,345
Pain in throat and chest (R07),no.,0,0,0,7,9,16,NA,R07,NA,NA,NA
Other symptoms and signs involving the circulatory and respiratory systems (R09),no.,26,37,63,1280,1265,2545,40.4,R09,49.23076923076923,34.189189189189186,40.3968253968254
Symptoms and signs involving the digestive system and abdomen (R10-R19),no.,7,13,20,1297,1106,2403,120.2,R10-R19,185.28571428571428,85.07692307692308,120.15
Abdominal and pelvic pain (R10),no.,0,2,2,29,45,74,37,R10,NA,22.5,37
Nausea and vomiting (R11),no.,0,0,0,120,142,262,NA,R11,NA,NA,NA
Heartburn (R12),no.,0,0,0,0,1,1,NA,R12,NA,NA,NA
Dysphagia (R13),no.,2,2,4,882,650,1532,383,R13,441,325,383
Flatulence and related conditions (R14),no.,0,0,0,2,2,4,NA,R14,NA,NA,NA
Faecal incontinence (R15),no.,0,0,0,9,22,31,NA,R15,NA,NA,NA
"Hepatomegaly and splenomegaly, not elsewhere classified (R16)",no.,0,0,0,6,14,20,NA,R16,NA,NA,NA
Unspecified jaundice (R17),no.,0,0,0,18,11,29,NA,R17,NA,NA,NA
Ascites (R18),no.,0,0,0,142,105,247,NA,R18,NA,NA,NA
Other symptoms and signs involving the digestive system and abdomen (R19),no.,5,9,14,89,114,203,14.5,R19,17.8,12.666666666666666,14.5
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),no.,1,0,1,10,14,24,24,R20-R23,10,NA,24
Disturbances of skin sensation (R20),no.,0,0,0,2,2,4,NA,R20,NA,NA,NA
Rash and other nonspecific skin eruption (R21),no.,0,0,0,1,1,2,NA,R21,NA,NA,NA
"Localized swelling, mass and lump of skin and subcutaneous tissue (R22)",no.,1,0,1,6,8,14,14,R22,6,NA,14
Other skin changes (R23),no.,0,0,0,1,3,4,NA,R23,NA,NA,NA
Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),no.,0,4,4,1333,1453,2786,696.5,R25-R29,NA,363.25,696.5
Abnormal involuntary movements (R25),no.,0,0,0,15,14,29,NA,R25,NA,NA,NA
Abnormalities of gait and mobility (R26),no.,0,2,2,463,675,1138,569,R26,NA,337.5,569
Other lack of coordination (R27),no.,0,0,0,12,9,21,NA,R27,NA,NA,NA
Other symptoms and signs involving the nervous and musculoskeletal systems (R29),no.,0,2,2,843,755,1598,799,R29,NA,377.5,799
Symptoms and signs involving the urinary system (R30-R39),no.,2,0,2,443,274,717,358.5,R30-R39,221.5,NA,358.5
Pain associated with micturition (R30),no.,0,0,0,1,0,1,NA,R30,NA,NA,NA
Unspecified haematuria (R31),no.,0,0,0,113,17,130,NA,R31,NA,NA,NA
Unspecified urinary incontinence (R32),no.,0,0,0,48,89,137,NA,R32,NA,NA,NA
Retention of urine (R33),no.,2,0,2,141,41,182,91,R33,70.5,NA,91
Anuria and oliguria (R34),no.,0,0,0,136,126,262,NA,R34,NA,NA,NA
Polyuria (R35),no.,0,0,0,2,1,3,NA,R35,NA,NA,NA
Urethral discharge (R36),no.,0,0,0,0,0,0,NA,R36,NA,NA,NA
Other symptoms and signs involving the urinary system (R39),no.,0,0,0,2,0,2,NA,R39,NA,NA,NA
"Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)",no.,17,38,55,2363,1887,4250,77.3,R40-R46,139,49.6578947368421,77.27272727272727
"Somnolence, stupor and coma (R40)",no.,0,0,0,77,99,176,NA,R40,NA,NA,NA
Other symptoms and signs involving cognitive functions and awareness (R41),no.,17,38,55,1084,1349,2433,44.2,R41,63.76470588235294,35.5,44.236363636363635
Dizziness and giddiness (R42),no.,0,0,0,30,34,64,NA,R42,NA,NA,NA
Disturbances of smell and taste (R43),no.,0,0,0,0,0,0,NA,R43,NA,NA,NA
Other symptoms and signs involving general sensations and perceptions (R44),no.,0,0,0,40,25,65,NA,R44,NA,NA,NA
Symptoms and signs involving emotional state (R45),no.,0,0,0,1062,355,1417,NA,R45,NA,NA,NA
Symptoms and signs involving appearance and behaviour (R46),no.,0,0,0,70,25,95,NA,R46,NA,NA,NA
Symptoms and signs involving speech and voice (R47-R49),no.,0,2,2,52,46,98,49,R47-R49,NA,23,49
"Speech disturbances, not elsewhere classified (R47)",no.,0,2,2,50,44,94,47,R47,NA,22,47
"Dyslexia and other symbolic dysfunctions, not elsewhere classified (R48)",no.,0,0,0,0,2,2,NA,R48,NA,NA,NA
Voice disturbances (R49),no.,0,0,0,2,0,2,NA,R49,NA,NA,NA
General symptoms and signs (R50-R69),no.,464,1014,1478,13811,18262,32073,21.7,R50-R69,29.76508620689655,18.009861932938858,21.70027063599459
Fever of unknown origin (R50),no.,0,0,0,106,68,174,NA,R50,NA,NA,NA
Headache (R51),no.,0,0,0,6,9,15,NA,R51,NA,NA,NA
"Pain, not elsewhere classified (R52)",no.,0,3,3,338,377,715,238.3,R52,NA,125.66666666666667,238.33333333333334
Malaise and fatigue (R53),no.,104,225,329,4169,6178,10347,31.4,R53,40.08653846153846,27.45777777777778,31.44984802431611
Senility (R54),no.,205,507,712,2009,3774,5783,8.1,R54,9.8,7.443786982248521,8.122191011235955
Syncope and collapse (R55),no.,1,1,2,81,75,156,78,R55,81,75,78
"Convulsions, not elsewhere classified (R56)",no.,5,3,8,409,392,801,100.1,R56,81.8,130.66666666666666,100.125
"Shock, not elsewhere classified (R57)",no.,11,13,24,1958,1484,3442,143.4,R57,178,114.15384615384616,143.41666666666666
"Haemorrhage, not elsewhere classified (R58)",no.,5,1,6,266,171,437,72.8,R58,53.2,171,72.83333333333333
Enlarged lymph nodes (R59),no.,0,0,0,24,26,50,NA,R59,NA,NA,NA
"Oedema, not elsewhere classified (R60)",no.,0,0,0,37,65,102,NA,R60,NA,NA,NA
Hyperhidrosis (R61),no.,0,0,0,0,0,0,NA,R61,NA,NA,NA
Lack of expected normal physiological development (R62),no.,0,0,0,6,13,19,NA,R62,NA,NA,NA
Symptoms and signs concerning food and fluid intake (R63),no.,7,16,23,632,1114,1746,75.9,R63,90.28571428571429,69.625,75.91304347826087
Cachexia (R64),no.,3,11,14,551,831,1382,98.7,R64,183.66666666666666,75.54545454545455,98.71428571428571
Systemic Inflammatory Response Syndrome [SIRS] (R65),no.,0,0,0,12,18,30,NA,R65,NA,NA,NA
Other general symptoms and signs (R68),no.,123,234,357,3160,3598,6758,18.9,R68,25.691056910569106,15.376068376068377,18.92997198879552
Unknown and unspecified causes of morbidity (R69),no.,0,0,0,47,69,116,NA,R69,NA,NA,NA
"Abnormal findings on examination of blood, without diagnosis (R70-R79)",no.,0,0,0,1328,368,1696,NA,R70-R79,NA,NA,NA
Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity (R70),no.,0,0,0,2,3,5,NA,R70,NA,NA,NA
Abnormality of red blood cells (R71),no.,0,0,0,1,0,1,NA,R71,NA,NA,NA
"Abnormality of white blood cells, not elsewhere classified (R72)",no.,0,0,0,0,0,0,NA,R72,NA,NA,NA
Elevated blood glucose level (R73),no.,0,0,0,64,67,131,NA,R73,NA,NA,NA
Abnormal serum enzyme levels (R74),no.,0,0,0,7,3,10,NA,R74,NA,NA,NA
Laboratory evidence of human immunodeficiency virus [HIV] (R75),no.,0,0,0,0,0,0,NA,R75,NA,NA,NA
Other abnormal immunological findings in serum (R76),no.,0,0,0,1,1,2,NA,R76,NA,NA,NA
Other abnormalities of plasma proteins (R77),no.,0,0,0,2,0,2,NA,R77,NA,NA,NA
"Findings of drugs and other substances, not normally found in blood (R78)",no.,0,0,0,1242,284,1526,NA,R78,NA,NA,NA
Other abnormal findings of blood chemistry (R79),no.,0,0,0,9,10,19,NA,R79,NA,NA,NA
"Abnormal findings on examination of urine, without diagnosis (R80-R82)",no.,0,0,0,13,6,19,NA,R80-R82,NA,NA,NA
Isolated proteinuria (R80),no.,0,0,0,3,4,7,NA,R80,NA,NA,NA
Glycosuria (R81),no.,0,0,0,0,0,0,NA,R81,NA,NA,NA
Other abnormal findings in urine (R82),no.,0,0,0,10,2,12,NA,R82,NA,NA,NA
"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis (R83-R89)",no.,0,0,0,1,2,3,NA,R83-R89,NA,NA,NA
Abnormal findings in cerebrospinal fluid (R83),no.,0,0,0,0,0,0,NA,R83,NA,NA,NA
Abnormal findings in specimens from respiratory organs and thorax (R84),no.,0,0,0,0,0,0,NA,R84,NA,NA,NA
Abnormal findings in specimens from digestive organs and abdominal cavity (R85),no.,0,0,0,0,0,0,NA,R85,NA,NA,NA
Abnormal findings in specimens from male genital organs (R86),no.,0,0,0,0,0,0,NA,R86,NA,NA,NA
Abnormal findings in specimens from female genital organs (R87),no.,0,0,0,0,0,0,NA,R87,NA,NA,NA
"Abnormal findings in specimens from other organs, systems and tissues (R89)",no.,0,0,0,1,2,3,NA,R89,NA,NA,NA
"Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",no.,4,2,6,88,69,157,26.2,R90-R94,22,34.5,26.166666666666668
Abnormal findings on diagnostic imaging of central nervous system (R90),no.,2,1,3,15,13,28,9.3,R90,7.5,13,9.333333333333334
Abnormal findings on diagnostic imaging of lung (R91),no.,2,1,3,58,43,101,33.7,R91,29,43,33.666666666666664
Abnormal findings on diagnostic imaging of breast (R92),no.,0,0,0,0,0,0,NA,R92,NA,NA,NA
Abnormal findings on diagnostic imaging of other body structures (R93),no.,0,0,0,2,1,3,NA,R93,NA,NA,NA
Abnormal results of function studies (R94),no.,0,0,0,13,12,25,NA,R94,NA,NA,NA
Ill-defined and unknown causes of mortality (R95-R99),no.,1286,852,2138,1288,853,2141,1,R95-R99,1.0015552099533438,1.0011737089201878,1.0014031805425632
Sudden infant death syndrome (R95),no.,10,5,15,10,5,15,1,R95,1,1,1
"Other sudden death, cause unknown (R96)",no.,0,0,0,2,1,3,NA,R96,NA,NA,NA
Unattended death (R98),no.,0,0,0,0,0,0,NA,R98,NA,NA,NA
Other ill-defined and unspecified causes of mortality (R99),no.,1276,847,2123,1276,847,2123,1,R99,1,1,1
"CHAPTER XIX Injury, poisoning and certain other consequences of external causes (S00-T98)",no.,0,0,0,14967,9051,24018,NA,S00-T98,NA,NA,NA
Other Injuries (S00-T19),no.,0,0,0,7904,5520,13424,NA,S00-T19,NA,NA,NA
Injuries to the head (S00-S09),no.,0,0,0,2133,1239,3372,NA,S00-S09,NA,NA,NA
Superficial injury of head (S00),no.,0,0,0,10,6,16,NA,S00,NA,NA,NA
Open wound of head (S01),no.,0,0,0,169,32,201,NA,S01,NA,NA,NA
Fracture of skull and facial bones (S02),no.,0,0,0,192,95,287,NA,S02,NA,NA,NA
"Dislocation, sprain and strain of joints and ligaments of head (S03)",no.,0,0,0,1,1,2,NA,S03,NA,NA,NA
Injury of cranial nerves (S04),no.,0,0,0,0,0,0,NA,S04,NA,NA,NA
Injury of eye and orbit (S05),no.,0,0,0,2,3,5,NA,S05,NA,NA,NA
Intracranial injury (S06),no.,0,0,0,1352,900,2252,NA,S06,NA,NA,NA
Crushing injury of head (S07),no.,0,0,0,1,0,1,NA,S07,NA,NA,NA
Traumatic amputation of part of head (S08),no.,0,0,0,0,0,0,NA,S08,NA,NA,NA
Other and unspecified injuries of head (S09),no.,0,0,0,406,202,608,NA,S09,NA,NA,NA
Injuries to the neck (S10-S19),no.,0,0,0,726,274,1000,NA,S10-S19,NA,NA,NA
Superficial injury of neck (S10),no.,0,0,0,0,2,2,NA,S10,NA,NA,NA
Open wound of neck (S11),no.,0,0,0,68,13,81,NA,S11,NA,NA,NA
Fracture of neck (S12),no.,0,0,0,214,130,344,NA,S12,NA,NA,NA
"Dislocation, sprain and strain of joints and ligaments at neck level (S13)",no.,0,0,0,9,3,12,NA,S13,NA,NA,NA
Injury of nerves and spinal cord at neck level (S14),no.,0,0,0,34,12,46,NA,S14,NA,NA,NA
Injury of blood vessels at neck level (S15),no.,0,0,0,20,6,26,NA,S15,NA,NA,NA
Injury of muscle and tendon at neck level (S16),no.,0,0,0,0,0,0,NA,S16,NA,NA,NA
Crushing injury of neck (S17),no.,0,0,0,0,0,0,NA,S17,NA,NA,NA
Traumatic amputation at neck level (S18),no.,0,0,0,6,1,7,NA,S18,NA,NA,NA
Other and unspecified injuries of neck (S19),no.,0,0,0,375,107,482,NA,S19,NA,NA,NA
Injuries to the thorax (S20-S29),no.,0,0,0,882,459,1341,NA,S20-S29,NA,NA,NA
Superficial injury of thorax (S20),no.,0,0,0,8,4,12,NA,S20,NA,NA,NA
Open wound of thorax (S21),no.,0,0,0,76,19,95,NA,S21,NA,NA,NA
"Fracture of rib(s), sternum and thoracic spine (S22)",no.,0,0,0,477,309,786,NA,S22,NA,NA,NA
"Dislocation, sprain and strain of joints and ligaments of thorax (S23)",no.,0,0,0,1,1,2,NA,S23,NA,NA,NA
Injury of nerves and spinal cord at thorax level (S24),no.,0,0,0,3,0,3,NA,S24,NA,NA,NA
Injury of blood vessels of thorax (S25),no.,0,0,0,17,5,22,NA,S25,NA,NA,NA
Injury of heart (S26),no.,0,0,0,10,5,15,NA,S26,NA,NA,NA
Injury of other and unspecified intrathoracic organs (S27),no.,0,0,0,117,68,185,NA,S27,NA,NA,NA
Crushing injury of thorax and traumatic amputation of part of thorax (S28),no.,0,0,0,3,0,3,NA,S28,NA,NA,NA
Other and unspecified injuries of thorax (S29),no.,0,0,0,170,48,218,NA,S29,NA,NA,NA
"Injuries to the abdomen, lower back, lumbar spine and pelvis (S30-S39)",no.,0,0,0,404,402,806,NA,S30-S39,NA,NA,NA
"Superficial injury of abdomen, lower back and pelvis (S30)",no.,0,0,0,5,9,14,NA,S30,NA,NA,NA
"Open wound of abdomen, lower back and pelvis (S31)",no.,0,0,0,15,3,18,NA,S31,NA,NA,NA
Fracture of lumbar spine and pelvis (S32),no.,0,0,0,269,329,598,NA,S32,NA,NA,NA
"Dislocation, sprain and strain of joints and ligaments of lumbar spine and pelvis (S33)",no.,0,0,0,1,0,1,NA,S33,NA,NA,NA
"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level (S34)",no.,0,0,0,2,0,2,NA,S34,NA,NA,NA
"Injury of blood vessels at abdomen, lower back and pelvis level (S35)",no.,0,0,0,5,0,5,NA,S35,NA,NA,NA
Injury of intra-abdominal organs (S36),no.,0,0,0,49,31,80,NA,S36,NA,NA,NA
Injury of pelvic organs (S37),no.,0,0,0,13,8,21,NA,S37,NA,NA,NA
"Crushing injury and traumatic amputation of part of abdomen, lower back and pelvis (S38)",no.,0,0,0,0,0,0,NA,S38,NA,NA,NA
