cause_icd10,unit,underlying_male,underlying_female,underlying_persons,multiple_male,multiple_female,multiple_persons,extra_1,icd10_code,cause_name,is_chapter,is_total,ratio_persons,ratio_male,ratio_female
Other birth injuries to central nervous system (P11),no.,0,1,1,1,3,4,4,P11,Other birth injuries to central nervous system,FALSE,FALSE,4,NA,3
Birth injury to scalp (P12),no.,0,0,0,0,0,0,—,P12,Birth injury to scalp,FALSE,FALSE,NA,NA,NA
Birth injury to skeleton (P13),no.,0,0,0,0,0,0,—,P13,Birth injury to skeleton,FALSE,FALSE,NA,NA,NA
Birth injury to peripheral nervous system (P14),no.,0,0,0,0,0,0,—,P14,Birth injury to peripheral nervous system,FALSE,FALSE,NA,NA,NA
Other birth injuries (P15),no.,0,0,0,0,1,1,—,P15,Other birth injuries,FALSE,FALSE,NA,NA,NA
Respiratory and cardiovascular disorders specific to the perinatal period (P20-P29),no.,25,16,41,128,137,265,6.5,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,FALSE,FALSE,6.463414634146342,5.12,8.5625
Intrauterine hypoxia (P20),no.,1,0,1,4,3,7,7,P20,Intrauterine hypoxia,FALSE,FALSE,7,4,NA
Birth asphyxia (P21),no.,2,0,2,12,14,26,13,P21,Birth asphyxia,FALSE,FALSE,13,6,NA
Respiratory distress of newborn (P22),no.,3,2,5,15,17,32,6.4,P22,Respiratory distress of newborn,FALSE,FALSE,6.4,5,8.5
Congenital pneumonia (P23),no.,1,0,1,2,2,4,4,P23,Congenital pneumonia,FALSE,FALSE,4,2,NA
Neonatal aspiration syndromes (P24),no.,2,2,4,4,6,10,2.5,P24,Neonatal aspiration syndromes,FALSE,FALSE,2.5,2,3
Interstitial emphysema and related conditions originating in the perinatal period (P25),no.,2,2,4,11,5,16,4,P25,Interstitial emphysema and related conditions originating in the perinatal period,FALSE,FALSE,4,5.5,2.5
Pulmonary haemorrhage originating in the perinatal period (P26),no.,1,1,2,5,5,10,5,P26,Pulmonary haemorrhage originating in the perinatal period,FALSE,FALSE,5,5,5
Chronic respiratory disease originating in the perinatal period (P27),no.,6,0,6,11,7,18,3,P27,Chronic respiratory disease originating in the perinatal period,FALSE,FALSE,3,1.8333333333333333,NA
Other respiratory conditions originating in the perinatal period (P28),no.,3,4,7,29,24,53,7.6,P28,Other respiratory conditions originating in the perinatal period,FALSE,FALSE,7.571428571428571,9.666666666666666,6
Cardiovascular disorders originating in the perinatal period (P29),no.,4,5,9,35,54,89,9.9,P29,Cardiovascular disorders originating in the perinatal period,FALSE,FALSE,9.88888888888889,8.75,10.8
Infections specific to the perinatal period (P35-P39),no.,19,11,30,46,31,77,2.6,P35-P39,Infections specific to the perinatal period,FALSE,FALSE,2.566666666666667,2.4210526315789473,2.8181818181818183
Congenital viral diseases (P35),no.,5,4,9,12,5,17,1.9,P35,Congenital viral diseases,FALSE,FALSE,1.8888888888888888,2.4,1.25
Bacterial sepsis of newborn (P36),no.,13,6,19,32,25,57,3,P36,Bacterial sepsis of newborn,FALSE,FALSE,3,2.4615384615384617,4.166666666666667
Other congenital infectious and parasitic diseases (P37),no.,0,1,1,0,1,1,1,P37,Other congenital infectious and parasitic diseases,FALSE,FALSE,1,NA,1
Omphalitis of newborn with or without mild haemorrhage (P38),no.,0,0,0,0,0,0,—,P38,Omphalitis of newborn with or without mild haemorrhage,FALSE,FALSE,NA,NA,NA
Other infections specific to the perinatal period (P39),no.,1,0,1,2,0,2,2,P39,Other infections specific to the perinatal period,FALSE,FALSE,2,2,NA
Haemorrhagic and haematological disorders of fetus and newborn (P50-P61),no.,15,19,34,55,45,100,2.9,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,FALSE,FALSE,2.9411764705882355,3.6666666666666665,2.3684210526315788
Fetal blood loss (P50),no.,0,2,2,1,2,3,1.5,P50,Fetal blood loss,FALSE,FALSE,1.5,NA,1
Umbilical haemorrhage of newborn (P51),no.,0,0,0,0,0,0,—,P51,Umbilical haemorrhage of newborn,FALSE,FALSE,NA,NA,NA
Intracranial nontraumatic haemorrhage of fetus and newborn (P52),no.,14,15,29,41,31,72,2.5,P52,Intracranial nontraumatic haemorrhage of fetus and newborn,FALSE,FALSE,2.4827586206896552,2.9285714285714284,2.066666666666667
Haemorrhagic disease of fetus and newborn (P53),no.,0,0,0,0,0,0,—,P53,Haemorrhagic disease of fetus and newborn,FALSE,FALSE,NA,NA,NA
Other neonatal haemorrhages (P54),no.,0,0,0,1,1,2,—,P54,Other neonatal haemorrhages,FALSE,FALSE,NA,NA,NA
Haemolytic disease of fetus and newborn (P55),no.,0,0,0,2,1,3,—,P55,Haemolytic disease of fetus and newborn,FALSE,FALSE,NA,NA,NA
Hydrops fetalis due to haemolytic disease (P56),no.,0,0,0,0,0,0,—,P56,Hydrops fetalis due to haemolytic disease,FALSE,FALSE,NA,NA,NA
Kernicterus (P57),no.,0,0,0,0,0,0,—,P57,Kernicterus,FALSE,FALSE,NA,NA,NA
Neonatal jaundice due to other excessive haemolysis (P58),no.,0,0,0,0,0,0,—,P58,Neonatal jaundice due to other excessive haemolysis,FALSE,FALSE,NA,NA,NA
Neonatal jaundice from other and unspecified causes (P59),no.,0,0,0,2,1,3,—,P59,Neonatal jaundice from other and unspecified causes,FALSE,FALSE,NA,NA,NA
Disseminated intravascular coagulation of fetus and newborn (P60),no.,0,1,1,1,5,6,6,P60,Disseminated intravascular coagulation of fetus and newborn,FALSE,FALSE,6,NA,5
Other perinatal haematological disorders (P61),no.,1,1,2,7,4,11,5.5,P61,Other perinatal haematological disorders,FALSE,FALSE,5.5,7,4
Transitory endocrine and metabolic disorders specific to fetus and newborn (P70-P74),no.,0,2,2,8,11,19,9.5,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,FALSE,FALSE,9.5,NA,5.5
Transitory disorders of carbohydrate metabolism specific to fetus and newborn (P70),no.,0,2,2,7,9,16,8,P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,FALSE,FALSE,8,NA,4.5
Transitory neonatal disorders of calcium and magnesium metabolism (P71),no.,0,0,0,0,0,0,—,P71,Transitory neonatal disorders of calcium and magnesium metabolism,FALSE,FALSE,NA,NA,NA
Other transitory neonatal endocrine disorders (P72),no.,0,0,0,0,0,0,—,P72,Other transitory neonatal endocrine disorders,FALSE,FALSE,NA,NA,NA
Other transitory neonatal electrolyte and metabolic disturbances (P74),no.,0,0,0,1,2,3,—,P74,Other transitory neonatal electrolyte and metabolic disturbances,FALSE,FALSE,NA,NA,NA
Digestive system disorders of fetus and newborn (P75-P78),no.,14,5,19,30,10,40,2.1,P75-P78,Digestive system disorders of fetus and newborn,FALSE,FALSE,2.1052631578947367,2.142857142857143,2
Other intestinal obstruction of newborn (P76),no.,0,0,0,3,0,3,—,P76,Other intestinal obstruction of newborn,FALSE,FALSE,NA,NA,NA
Necrotizing enterocolitis of fetus and newborn (P77),no.,9,4,13,15,7,22,1.7,P77,Necrotizing enterocolitis of fetus and newborn,FALSE,FALSE,1.6923076923076923,1.6666666666666667,1.75
Other perinatal digestive system disorders (P78),no.,5,1,6,12,3,15,2.5,P78,Other perinatal digestive system disorders,FALSE,FALSE,2.5,2.4,3
Conditions involving the integument and temperature regulation of fetus and newborn (P80-P83),no.,2,7,9,5,10,15,1.7,P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn,FALSE,FALSE,1.6666666666666667,2.5,1.4285714285714286
Hypothermia of newborn (P80),no.,0,0,0,0,0,0,—,P80,Hypothermia of newborn,FALSE,FALSE,NA,NA,NA
Other disturbances of temperature regulation of newborn (P81),no.,0,0,0,0,0,0,—,P81,Other disturbances of temperature regulation of newborn,FALSE,FALSE,NA,NA,NA
Other conditions of integument specific to fetus and newborn (P83),no.,2,7,9,5,10,15,1.7,P83,Other conditions of integument specific to fetus and newborn,FALSE,FALSE,1.6666666666666667,2.5,1.4285714285714286
Other disorders originating in the perinatal period (P90-P96),no.,48,30,78,140,125,265,3.4,P90-P96,Other disorders originating in the perinatal period,FALSE,FALSE,3.3974358974358974,2.9166666666666665,4.166666666666667
Convulsions of newborn (P90),no.,0,0,0,1,2,3,—,P90,Convulsions of newborn,FALSE,FALSE,NA,NA,NA
Other disturbances of cerebral status of newborn (P91),no.,8,9,17,27,41,68,4,P91,Other disturbances of cerebral status of newborn,FALSE,FALSE,4,3.375,4.555555555555555
Feeding problems of newborn (P92),no.,0,0,0,0,1,1,—,P92,Feeding problems of newborn,FALSE,FALSE,NA,NA,NA
Reactions and intoxications due to drugs administered to fetus and newborn (P93),no.,0,0,0,0,0,0,—,P93,Reactions and intoxications due to drugs administered to fetus and newborn,FALSE,FALSE,NA,NA,NA
Disorders of muscle tone of newborn (P94),no.,0,0,0,0,2,2,—,P94,Disorders of muscle tone of newborn,FALSE,FALSE,NA,NA,NA
Fetal death of unspecified cause (P95),no.,0,0,0,0,0,0,—,P95,Fetal death of unspecified cause,FALSE,FALSE,NA,NA,NA
Other conditions originating in the perinatal period (P96),no.,40,21,61,112,79,191,3.1,P96,Other conditions originating in the perinatal period,FALSE,FALSE,3.1311475409836067,2.8,3.761904761904762
"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities (Q00-Q99)",no.,333,317,650,704,629,1333,2.1,Q00-Q99,"CHAPTER XVII Congenital malformations, deformations and chromosomal abnormalities",TRUE,FALSE,2.0507692307692307,2.114114114114114,1.9842271293375395
Congenital malformations of the nervous system (Q00-Q07),no.,31,24,55,59,51,110,2,Q00-Q07,Congenital malformations of the nervous system,FALSE,FALSE,2,1.903225806451613,2.125
Anencephaly and similar malformations (Q00),no.,7,3,10,7,3,10,1,Q00,Anencephaly and similar malformations,FALSE,FALSE,1,1,1
Encephalocele (Q01),no.,0,1,1,0,1,1,1,Q01,Encephalocele,FALSE,FALSE,1,NA,1
Microcephaly (Q02),no.,0,2,2,1,3,4,2,Q02,Microcephaly,FALSE,FALSE,2,NA,1.5
Congenital hydrocephalus (Q03),no.,5,3,8,8,5,13,1.6,Q03,Congenital hydrocephalus,FALSE,FALSE,1.625,1.6,1.6666666666666667
Other congenital malformations of brain (Q04),no.,9,6,15,21,16,37,2.5,Q04,Other congenital malformations of brain,FALSE,FALSE,2.466666666666667,2.3333333333333335,2.6666666666666665
Spina bifida (Q05),no.,8,5,13,18,17,35,2.7,Q05,Spina bifida,FALSE,FALSE,2.6923076923076925,2.25,3.4
Other congenital malformations of spinal cord (Q06),no.,0,0,0,1,0,1,—,Q06,Other congenital malformations of spinal cord,FALSE,FALSE,NA,NA,NA
Other congenital malformations of nervous system (Q07),no.,2,4,6,3,6,9,1.5,Q07,Other congenital malformations of nervous system,FALSE,FALSE,1.5,1.5,1.5
"Congenital malformations of eye, ear, face and neck (Q10-Q18)",no.,0,0,0,2,1,3,—,Q10-Q18,"Congenital malformations of eye, ear, face and neck",FALSE,FALSE,NA,NA,NA
"Congenital malformations of eyelid, lacrimal apparatus and orbit (Q10)",no.,0,0,0,0,1,1,—,Q10,"Congenital malformations of eyelid, lacrimal apparatus and orbit",FALSE,FALSE,NA,NA,NA
"Anophthalmos, microphthalmos and macrophthalmos (Q11)",no.,0,0,0,0,0,0,—,Q11,"Anophthalmos, microphthalmos and macrophthalmos",FALSE,FALSE,NA,NA,NA
Congenital lens malformations (Q12),no.,0,0,0,0,0,0,—,Q12,Congenital lens malformations,FALSE,FALSE,NA,NA,NA
Congenital malformations of anterior segment of eye (Q13),no.,0,0,0,2,0,2,—,Q13,Congenital malformations of anterior segment of eye,FALSE,FALSE,NA,NA,NA
Congenital malformations of posterior segment of eye (Q14),no.,0,0,0,0,0,0,—,Q14,Congenital malformations of posterior segment of eye,FALSE,FALSE,NA,NA,NA
Other congenital malformations of eye (Q15),no.,0,0,0,0,0,0,—,Q15,Other congenital malformations of eye,FALSE,FALSE,NA,NA,NA
Congenital malformations of ear causing impairment of hearing (Q16),no.,0,0,0,0,0,0,—,Q16,Congenital malformations of ear causing impairment of hearing,FALSE,FALSE,NA,NA,NA
Other congenital malformations of ear (Q17),no.,0,0,0,0,0,0,—,Q17,Other congenital malformations of ear,FALSE,FALSE,NA,NA,NA
Other congenital malformations of face and neck (Q18),no.,0,0,0,0,0,0,—,Q18,Other congenital malformations of face and neck,FALSE,FALSE,NA,NA,NA
Congenital malformations of the circulatory system (Q20-Q28),no.,86,84,170,212,186,398,2.2999999999999998,Q20-Q28,Congenital malformations of the circulatory system,FALSE,FALSE,2.3411764705882354,2.4651162790697674,2.2142857142857144
Congenital malformations of cardiac chambers and connections (Q20),no.,5,7,12,11,11,22,1.8,Q20,Congenital malformations of cardiac chambers and connections,FALSE,FALSE,1.8333333333333333,2.2,1.5714285714285714
Congenital malformations of cardiac septa (Q21),no.,17,20,37,47,55,102,2.8,Q21,Congenital malformations of cardiac septa,FALSE,FALSE,2.7567567567567566,2.764705882352941,2.75
Congenital malformations of pulmonary and tricuspid valves (Q22),no.,5,4,9,6,10,16,1.8,Q22,Congenital malformations of pulmonary and tricuspid valves,FALSE,FALSE,1.7777777777777777,1.2,2.5
Congenital malformations of aortic and mitral valves (Q23),no.,20,11,31,44,18,62,2,Q23,Congenital malformations of aortic and mitral valves,FALSE,FALSE,2,2.2,1.6363636363636365
Other congenital malformations of heart (Q24),no.,23,24,47,49,42,91,1.9,Q24,Other congenital malformations of heart,FALSE,FALSE,1.9361702127659575,2.130434782608696,1.75
Congenital malformations of great arteries (Q25),no.,4,11,15,20,30,50,3.3,Q25,Congenital malformations of great arteries,FALSE,FALSE,3.3333333333333335,5,2.727272727272727
Congenital malformations of great veins (Q26),no.,0,1,1,4,3,7,7,Q26,Congenital malformations of great veins,FALSE,FALSE,7,NA,3
Other congenital malformations of peripheral vascular system (Q27),no.,5,5,10,14,11,25,2.5,Q27,Other congenital malformations of peripheral vascular system,FALSE,FALSE,2.5,2.8,2.2
Other congenital malformations of circulatory system (Q28),no.,7,1,8,17,6,23,2.9,Q28,Other congenital malformations of circulatory system,FALSE,FALSE,2.875,2.4285714285714284,6
Congenital malformations of the respiratory system (Q30-Q34),no.,6,6,12,20,19,39,3.3,Q30-Q34,Congenital malformations of the respiratory system,FALSE,FALSE,3.25,3.3333333333333335,3.1666666666666665
Congenital malformations of nose (Q30),no.,0,0,0,0,0,0,—,Q30,Congenital malformations of nose,FALSE,FALSE,NA,NA,NA
Congenital malformations of larynx (Q31),no.,0,0,0,0,1,1,—,Q31,Congenital malformations of larynx,FALSE,FALSE,NA,NA,NA
Congenital malformations of trachea and bronchus (Q32),no.,4,1,5,7,1,8,1.6,Q32,Congenital malformations of trachea and bronchus,FALSE,FALSE,1.6,1.75,1
Congenital malformations of lung (Q33),no.,2,5,7,13,16,29,4.0999999999999996,Q33,Congenital malformations of lung,FALSE,FALSE,4.142857142857143,6.5,3.2
Other congenital malformations of respiratory system (Q34),no.,0,0,0,0,1,1,—,Q34,Other congenital malformations of respiratory system,FALSE,FALSE,NA,NA,NA
Cleft lip and cleft palate (Q35-Q37),no.,1,0,1,4,0,4,4,Q35-Q37,Cleft lip and cleft palate,FALSE,FALSE,4,4,NA
Cleft palate (Q35),no.,0,0,0,1,0,1,—,Q35,Cleft palate,FALSE,FALSE,NA,NA,NA
Cleft lip (Q36),no.,0,0,0,1,0,1,—,Q36,Cleft lip,FALSE,FALSE,NA,NA,NA
Cleft palate with cleft lip (Q37),no.,1,0,1,2,0,2,2,Q37,Cleft palate with cleft lip,FALSE,FALSE,2,2,NA
Other congenital malformations of the digestive system (Q38-Q45),no.,10,9,19,20,24,44,2.2999999999999998,Q38-Q45,Other congenital malformations of the digestive system,FALSE,FALSE,2.3157894736842106,2,2.6666666666666665
"Other congenital malformations of tongue, mouth and pharynx (Q38)",no.,0,0,0,0,1,1,—,Q38,"Other congenital malformations of tongue, mouth and pharynx",FALSE,FALSE,NA,NA,NA
Congenital malformations of oesophagus (Q39),no.,3,3,6,4,6,10,1.7,Q39,Congenital malformations of oesophagus,FALSE,FALSE,1.6666666666666667,1.3333333333333333,2
Other congenital malformations of upper alimentary tract (Q40),no.,0,0,0,0,1,1,—,Q40,Other congenital malformations of upper alimentary tract,FALSE,FALSE,NA,NA,NA
"Congenital absence, atresia and stenosis of small intestine (Q41)",no.,1,0,1,1,1,2,2,Q41,"Congenital absence, atresia and stenosis of small intestine",FALSE,FALSE,2,1,NA
"Congenital absence, atresia and stenosis of large intestine (Q42)",no.,0,0,0,1,1,2,—,Q42,"Congenital absence, atresia and stenosis of large intestine",FALSE,FALSE,NA,NA,NA
Other congenital malformations of intestine (Q43),no.,6,3,9,11,7,18,2,Q43,Other congenital malformations of intestine,FALSE,FALSE,2,1.8333333333333333,2.3333333333333335
"Congenital malformations of gallbladder, bile ducts and liver (Q44)",no.,0,3,3,2,7,9,3,Q44,"Congenital malformations of gallbladder, bile ducts and liver",FALSE,FALSE,3,NA,2.3333333333333335
Other congenital malformations of digestive system (Q45),no.,0,0,0,1,0,1,—,Q45,Other congenital malformations of digestive system,FALSE,FALSE,NA,NA,NA
Congenital malformations of genital organs (Q50-Q56),no.,0,0,0,1,0,1,—,Q50-Q56,Congenital malformations of genital organs,FALSE,FALSE,NA,NA,NA
"Congenital malformations of ovaries, fallopian tubes and broad ligaments (Q50)",no.,0,0,0,0,0,0,—,Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",FALSE,FALSE,NA,NA,NA
Congenital malformations of uterus and cervix (Q51),no.,0,0,0,0,0,0,—,Q51,Congenital malformations of uterus and cervix,FALSE,FALSE,NA,NA,NA
Other congenital malformations of female genitalia (Q52),no.,0,0,0,0,0,0,—,Q52,Other congenital malformations of female genitalia,FALSE,FALSE,NA,NA,NA
Undescended testicle (Q53),no.,0,0,0,0,0,0,—,Q53,Undescended testicle,FALSE,FALSE,NA,NA,NA
Hypospadias (Q54),no.,0,0,0,1,0,1,—,Q54,Hypospadias,FALSE,FALSE,NA,NA,NA
Other congenital malformations of male genital organs (Q55),no.,0,0,0,0,0,0,—,Q55,Other congenital malformations of male genital organs,FALSE,FALSE,NA,NA,NA
Indeterminate sex and pseudohermaphroditism (Q56),no.,0,0,0,0,0,0,—,Q56,Indeterminate sex and pseudohermaphroditism,FALSE,FALSE,NA,NA,NA
Congenital malformations of the urinary system (Q60-Q64),no.,45,43,88,87,70,157,1.8,Q60-Q64,Congenital malformations of the urinary system,FALSE,FALSE,1.7840909090909092,1.9333333333333333,1.627906976744186
Renal agenesis and other reduction defects of kidney (Q60),no.,7,7,14,12,14,26,1.9,Q60,Renal agenesis and other reduction defects of kidney,FALSE,FALSE,1.8571428571428572,1.7142857142857142,2
Cystic kidney disease (Q61),no.,31,35,66,62,51,113,1.7,Q61,Cystic kidney disease,FALSE,FALSE,1.7121212121212122,2,1.457142857142857
Congenital obstructive defects of renal pelvis and congenital malformations of ureter (Q62),no.,1,0,1,1,0,1,1,Q62,Congenital obstructive defects of renal pelvis and congenital malformations of ureter,FALSE,FALSE,1,1,NA
Other congenital malformations of kidney (Q63),no.,2,1,3,6,4,10,3.3,Q63,Other congenital malformations of kidney,FALSE,FALSE,3.3333333333333335,3,4
Other congenital malformations of urinary system (Q64),no.,4,0,4,6,1,7,1.8,Q64,Other congenital malformations of urinary system,FALSE,FALSE,1.75,1.5,NA
Congenital malformations and deformations of the musculoskeletal system (Q65-Q79),no.,14,16,30,32,43,75,2.5,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,FALSE,FALSE,2.5,2.2857142857142856,2.6875
Congenital deformities of hip (Q65),no.,0,0,0,0,2,2,—,Q65,Congenital deformities of hip,FALSE,FALSE,NA,NA,NA
Congenital deformities of feet (Q66),no.,0,0,0,0,1,1,—,Q66,Congenital deformities of feet,FALSE,FALSE,NA,NA,NA
"Congenital musculoskeletal deformities of head, face, spine and chest (Q67)",no.,0,0,0,4,3,7,—,Q67,"Congenital musculoskeletal deformities of head, face, spine and chest",FALSE,FALSE,NA,NA,NA
